nombre,departamento_id
CHACHAPOYAS,1
BAGUA,1
BONGARA,1
LUYA,1
RODRIGUEZ DE MENDOZA,1
CONDORCANQUI,1
UTCUBAMBA,1
HUARAZ,2
AIJA,2
BOLOGNESI,2
CARHUAZ,2
CASMA,2
CORONGO,2
HUAYLAS,2
HUARI,2
MARISCAL LUZURIAGA,2
PALLASCA,2
POMABAMBA,2
RECUAY,2
SANTA,2
SIHUAS,2
YUNGAY,2
ANTONIO RAIMONDI,2
CARLOS FERMIN FITZCARRALD,2
ASUNCION,2
HUARMEY,2
OCROS,2
ABANCAY,3
AYMARAES,3
ANDAHUAYLAS,3
ANTABAMBA,3
COTABAMBAS,3
GRAU,3
CHINCHEROS,3
AREQUIPA,4
CAYLLOMA,4
CAMANA,4
CARAVELI,4
CASTILLA,4
CONDESUYOS,4
ISLAY,4
LA UNION,4
HUAMANGA,5
CANGALLO,5
HUANTA,5
LA MAR,5
LUCANAS,5
PARINACOCHAS,5
VICTOR FAJARDO,5
HUANCA SANCOS,5
VILCAS HUAMAN,5
PAUCAR DEL SARA SARA,5
SUCRE,5
CAJAMARCA,6
CAJABAMBA,6
CELENDIN,6
CONTUMAZA,6
CUTERVO,6
CHOTA,6
HUALGAYOC,6
JAEN,6
SANTA CRUZ,6
SAN MIGUEL,6
SAN IGNACIO,6
SAN MARCOS,6
SAN PABLO,6
CUSCO,7
ACOMAYO,7
ANTA,7
CALCA,7
CANAS,7
CANCHIS,7
CHUMBIVILCAS,7
ESPINAR,7
LA CONVENCION,7
PARURO,7
PAUCARTAMBO,7
QUISPICANCHI,7
URUBAMBA,7
HUANCAVELICA,8
ACOBAMBA,8
ANGARAES,8
CASTROVIRREYNA,8
TAYACAJA,8
HUAYTARA,8
CHURCAMPA,8
HUANUCO,9
AMBO,9
DOS DE MAYO,9
HUAMALIES,9
MARA„ON,9
LEONCIO PRADO,9
PACHITEA,9
PUERTO INCA,9
HUACAYBAMBA,9
LAURICOCHA,9
YAROWILCA,9
ICA,10
CHINCHA,10
NAZCA,10
PISCO,10
PALPA,10
HUANCAYO,11
CONCEPCION,11
JAUJA,11
JUNIN,11
TARMA,11
YAULI,11
SATIPO,11
CHANCHAMAYO,11
CHUPACA,11
TRUJILLO,12
BOLIVAR,12
SANCHEZ CARRION,12
OTUZCO,12
PACASMAYO,12
PATAZ,12
SANTIAGO DE CHUCO,12
ASCOPE,12
CHEPEN,12
JULCAN,12
GRAN CHIMU,12
VIRU,12
CHICLAYO,13
FERRE„AFE,13
LAMBAYEQUE,13
LIMA,14
CAJATAMBO,14
CANTA,14
CA„ETE,14
HUAURA,14
HUAROCHIRI,14
YAUYOS,14
HUARAL,14
BARRANCA,14
OYON,14
MAYNAS,15
ALTO AMAZONAS,15
LORETO,15
REQUENA,15
UCAYALI,15
MARISCAL RAMON CASTILLA,15
DATEM DEL MARA„ON,15
TAMBOPATA,16
MANU,16
TAHUAMANU,16
MARISCAL NIETO,17
GENERAL SANCHEZ CERRO,17
ILO,17
PASCO,18
DANIEL ALCIDES CARRION,18
OXAPAMPA,18
PIURA,19
AYABACA,19
HUANCABAMBA,19
MORROPON,19
PAITA,19
SULLANA,19
TALARA,19
SECHURA,19
PUNO,20
AZANGARO,20
CARABAYA,20
CHUCUITO,20
HUANCANE,20
LAMPA,20
MELGAR,20
SANDIA,20
SAN ROMAN,20
YUNGUYO,20
SAN ANTONIO DE PUTINA,20
EL COLLAO,20
MOHO,20
MOYOBAMBA,21
HUALLAGA,21
LAMAS,21
MARISCAL CACERES,21
RIOJA,21
SAN MARTIN,21
BELLAVISTA,21
TOCACHE,21
PICOTA,21
EL DORADO,21
TACNA,22
TARATA,22
JORGE BASADRE,22
CANDARAVE,22
TUMBES,23
CONTRALMIRANTE VILLAR,23
ZARUMILLA,23
CALLAO,24
CORONEL PORTILLO,25
PADRE ABAD,25
ATALAYA,25
PURUS,25
